,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52
x_location.down_mean,0.16573485527082754,-0.09129710103382643,-0.00208725862372372,0.033933683068829185,-0.08971731405513436,-0.015719785926639362,0.042651293602561105,-0.09174354896110123,-0.01233520950552202,0.12232393660417976,-0.04382254453582394,-0.03281952884639751,-0.037317899180832115,-0.01796909562856444,-0.015583812237245032,-0.111431389216414,0.016634792407558947,0.11855097365496357,-0.19462525640990874,-0.013939623118627023,-0.08657294817354733,-0.04570048701294083,0.10403306834094368,0.0359960764469901,0.06939606155878796,0.036703954786777904,0.05811410393425348,0.03384898117729511,0.0696237854836455,-0.10270967324006006,0.08085535376099998,0.12988510021289987,-0.04134666962376718,0.014552856993296013,-0.04380274437488921,0.10377722797148685,-0.07281195995264081,0.06144802885921795,0.3235154265716015,0.12632733189206924,-0.05750202596213362,0.34975271653907536,-0.10455652979677102,0.06390948381420172,-0.02147292682668077,-0.25473622093635173,0.17450148371123841,0.04762132409209307,0.22166930022763967,0.1315902553668917,-0.012861911464800204,0.16740692836979393,-0.2275645651656135
button_touch_y_location_mean,0.02217575535571703,-0.20947213696647882,0.24829255443491094,-0.043782012974554224,-0.13739602827317535,0.07731837360968964,0.1678622446630042,-0.04922399550981754,0.07492241646606701,-0.10715416937706293,-0.07339171660781918,0.04455583056184742,-0.05020183003146997,-0.023991978970747896,0.11037267168208081,0.002145660272795352,0.016143988634311823,0.08233312844207707,-0.1689068402324143,-0.01594430380169315,-0.0518136359466036,0.12130306379646286,0.0890352420805945,0.058847944243576984,-0.061123175145958414,-0.07000454891037787,-0.012519897726191387,-0.14589727075597714,-0.0977739594187835,-0.15300109560540054,0.14334579267323483,-0.12458280191581218,0.16225709266631688,-0.0682788291307539,0.015215022655445786,0.0275142744509215,-0.1310781827745125,-0.04083767746082746,-0.04384537742643355,0.07178119534139298,0.06849155828053236,-0.1208909001499868,0.12854951447697072,-0.07749839946507453,-0.03873039680118982,-0.11232271656999747,0.11981999308259415,0.1356060489174064,-0.12592952206394492,-0.20813046071446445,-0.15080495742696062,0.26218182142221164,-0.07152969463474611
target_touch_y_location_mean,-0.06354227089310047,-0.02944760000260005,0.25686128484248544,-0.09765465719828803,-0.24354697606389863,0.007738038544482878,0.14578190702480634,-0.1295989104877539,0.04547155214762215,0.018794418791096924,0.032152460800637425,-0.033890340868316014,-0.18363123939053813,-0.05815919586472633,0.008875655337387267,0.0751076912909515,0.07115675967452617,0.09049373911696362,-0.016294468769495696,-0.033505666118268176,-0.06455036945139629,-0.05167654077994921,0.17499156599654436,-0.006895252073966074,-0.18692435601797303,-0.023242054484229335,-0.08816745362163761,-0.07874694570818089,-0.025440066702932536,-0.05445104406190617,0.16285210357566965,0.03158375002934686,0.09108708567814144,0.06315923254488556,0.03949238564787263,0.03822018242359515,-0.3309183676808427,-0.27759499627329626,-0.08618086677504957,-0.1578875964278514,0.08173091074197572,-0.09741459672957387,0.08846988397991956,-0.06261952236207084,0.12515952602248753,0.0036692725721075526,0.00952204749910678,-0.06603523082749371,0.11365459575348001,0.10932392628910008,0.04605059242352476,-0.2826576234032308,0.06649552840500263
y_location.release_mean,-0.13025041280952343,0.0355592062015293,0.18974762805876336,-0.06144047551296827,-0.10700628000761211,0.15336454486849294,-0.03275731683938049,-0.049594847608097264,0.015595603533272176,0.1442417272893095,0.03357066373367784,0.01139292701092063,-0.06098488856296022,0.12926345916724288,-0.07553930781234623,0.00417438141543876,0.11696808355381419,0.09051568216943588,-0.07771280667158653,-0.03697117741261604,0.1721248601875042,-0.019501931205730794,0.15697481814587316,-0.06541885463945883,0.018137128108914675,0.04835987695546565,0.14908066869177167,-0.14798107387324433,-0.040622454382629423,0.15882861367741213,0.04428562523447203,-0.07979430751559038,-0.16454431234843847,0.09084889050686709,0.05864018549348399,0.08253260542176652,0.18468164440466292,-0.011039461269340654,0.2591326063880227,0.12445271845891481,0.15941105778743764,-0.10618430622924407,0.11048008670018292,0.26865838704387673,0.1538943435196737,0.20997262678507397,0.13851480785979817,0.2950706107940457,-0.24162380835845307,0.02751306746544457,0.08109155422211851,-0.035152661639407015,0.06691516800683003
difference.touch_buttonCenter_x_mean,0.051700000964042835,0.180645857171933,0.10421469794832422,0.20132735759148523,0.014946063522221192,0.014176136463523809,0.14965349530781874,0.19736257287960593,-0.1536407364477385,0.1673854449568793,-0.03322227736550298,0.044041576585344626,-0.10150879576016213,0.053982205381665094,-0.13793948800279338,0.1432186584151755,0.1226493754496169,-0.2944033716409129,0.05901898050211628,-0.03772353260945304,-0.048947084594668885,-0.04231295479087463,-0.12720602049182567,-0.006934878146976894,-0.0415150788308632,0.06249657094906069,0.1281458292723017,-0.09904164329873505,0.05640249010449504,-0.029805387276879078,-0.012343484977596991,0.06942765437323994,0.0330502643772506,-0.05637245750081406,-0.11040314465140799,0.12509477578827466,0.04332344491298708,-0.12521323540073076,-0.17491451041613873,0.03899879397165288,0.02397101941193816,0.04575123953208554,0.3259888023119977,-0.1336842155222366,0.12680002738805127,-0.07838488190782505,0.06531455999363779,0.021744284400111703,-0.13946861171362565,0.09062365680757317,-0.1419843426861998,0.10363431792238667,0.1609342075808532
touchAccuracy_mean,-0.01856144564704498,-0.14946987590153207,0.06917237568909873,-0.19983090992584315,-0.012304501006812185,-0.10874109884794741,0.002374192218996901,0.1462301404579878,-0.017594710159792498,0.2797513567209946,0.039413745520782285,-0.07993904424734302,0.021768073705641485,-0.005880396286155359,0.07521425425382705,-0.3616888657592459,0.0025503971517809396,-0.08683766267529654,-0.0865281825113393,-0.2741981165657188,-0.0912828566616552,0.16995518394629944,0.2369066207963005,0.19477272761878606,-0.10841721658237218,0.24610877073748097,-0.22772877363108895,0.13316706640993342,0.08500659976510641,0.13612267981256654,0.041052266397551676,0.18943563470469116,-0.04374676304224376,-0.010172063696739047,-0.030934991880796285,-0.07563800575427634,0.1724659077340573,0.04053243425641741,-0.08015107020911817,-0.08774372389309346,-0.1817311089211165,-0.06517740891378612,0.10247884639454324,-0.07918652079665103,0.08324933016402757,-0.09717212595639871,-0.07927903677365127,0.11167363882066395,-0.004605845726600097,0.07101009830313718,-0.023120988228244405,-0.18027784786460224,-0.060661772778213795
touchAccuracy_x_mean,0.08367024240906633,0.02043638465359157,0.00968877592152223,0.23399194536633638,-0.09587943612620389,0.20766244421959823,0.0009863916586899946,-0.05914834819777648,-0.28774248843617384,0.13564821591416854,-0.06352530116723862,0.09679396752854683,0.02153612435843564,-0.07290241041919718,0.002990229894191565,0.12860425606600792,0.009027079458044547,0.044458459503354,-0.031218842400041705,-0.2557086735478692,0.013903650194220369,-0.03103165947749814,0.03995159436465849,-0.13674625277220448,-0.11138546990834773,0.09588822856664772,0.09402110478131781,0.23779188476967217,0.03291583483002307,-0.2073721978086835,-0.12799681500455207,0.005520257011123904,0.09019799415491819,-0.3028303253355479,-0.22321798740471138,0.06553460339646233,-0.1124173072676071,0.018142939277853057,0.07614127408121252,-0.257397420036998,-0.08866536829398752,0.08105748016463737,-0.009619469952315565,0.10592977336377611,-0.13387195858361567,0.03698333419615252,0.08634684689344918,0.24847632004121362,0.04188679888963211,-0.04211793765401817,-0.05677794680189861,-0.020291358964649463,-0.06631983095298086
touchAccuracy_y_mean,-0.015404617941831135,0.006059962048087293,0.2805462587600712,0.06403607905566211,-0.03765460359440269,0.05329777320490442,-0.01840580605974393,0.2687438581817693,-0.26385223831937893,-0.09180577138391915,-0.03474167415557178,-0.05799085333240933,0.0020887061715611777,0.13771454994951515,-0.03226330145772757,-0.24284527261772035,-0.013920558475600829,-0.018404019577042113,0.07314024697642801,0.13504304356711014,0.1532370792275313,0.023672687727331887,-0.06543926134582449,0.02465069442248377,0.020485494045261433,0.04414459318689841,-0.08924200680875646,0.0763621495681362,0.16043098049091914,0.014229704740237489,0.06042083223338787,-0.3120719997078101,-0.04711256796105513,0.1768065736800158,-0.038248973947552806,-0.017430855665035022,0.041173647556407775,0.12653976869795447,-0.17178475183036296,-0.22570652018035933,0.17005445805564742,0.01819305424135409,-0.03978968032671054,-0.02516498229626433,0.014868350802503733,-0.20772490013696837,0.1314515860738777,-0.03428696069375745,-0.027390935573835706,0.15619866767227536,-0.01706304417516305,0.26079770178482115,0.025742612655958855
time_between_touches_median,-0.0742878159491653,-0.0783514942151704,0.023346216587678895,-0.0865276988435987,-0.030728974857052865,-0.23132971757437243,0.08591434940739723,0.1356341277754314,-0.08138363835408158,-0.10886271402347292,-0.29724187525310886,0.005188205066429592,-0.20417918072212216,-0.003557897965097208,-0.1658063567864484,0.2423655093162489,-0.023245746406055937,0.03892808535921901,-0.3211170763084106,0.004576197803358689,-0.033820058082972435,-0.0074298044807649555,-0.019589941480474896,-0.1283064662169514,0.1794301027935487,0.11633365384567637,0.32553014353102,0.02080625102507144,0.17284675652936077,0.05986594001636288,-0.01846670829838505,-0.08012693286515558,0.033412182743105985,0.1639043677643547,-0.07776489294089031,0.015099975051749336,0.19279554626662043,-0.03750132056080636,-0.12762505640187888,-0.16777883743779437,-0.19246174488305906,-0.09128495005691072,-0.025762741684504476,0.10184297115336281,-0.07753526419963727,0.021173997265093156,-0.004427694071075253,-0.06760915277194487,0.0601136557311641,-0.051040773524927655,-0.018642615599156857,-0.3040426582584001,-0.11341774689865405
y_location.release_median,-0.09725353221360955,0.05809035765922148,0.20906909148269306,-0.05080141975189193,0.01667307603264502,0.1070280657145741,-0.01701745061581328,-0.14035306532960823,-0.032610607539765094,0.18314319440693702,0.19405524803708207,0.16021872943714982,-0.12997275938024355,-0.015829000343030045,-0.019426940771935824,-0.048944315034559226,0.025555114491072468,0.11117072314156738,0.18951539551794347,0.18501958277196306,-0.027533336061457706,0.09079808775632901,0.12571654515080144,-0.08702176723896232,0.12609509963185062,0.13878596089180217,0.2784380663490922,-0.0997147716841951,-0.1054446702354552,0.12298130354324813,-0.22709659465657622,0.007230765598676654,-0.07256255136185386,-0.16211822332097317,0.19694149923522425,-0.04811560054524876,-0.10581238486978722,0.13938997109602094,-0.18403738081973717,0.0650057277667703,0.10371337698770905,0.08607881267601059,0.0045882521985810346,-0.11975549411280265,-0.19650800838432575,-0.13529869725345128,0.006784368417783528,0.07966966328742611,0.09071305480020671,-0.026668190116863236,0.11255784538037512,-0.1922109970127998,-0.045214672696464335
difference.touch_buttonCenter_x_median,0.12591348971574493,-0.030101990688040065,-0.0005559974032385761,0.19652804705336135,-0.015929433784048465,0.047446400761198,-0.04994470265811255,0.12483275545350228,0.18748335898254673,0.04192627432115318,-0.024036349156582402,0.0606626120948746,0.10898486371144557,-0.033791286674306587,-0.09007013693726439,0.036289092428697045,-0.15541319784602026,-0.34315490307576,-0.025119063247168928,-0.10251262438046584,-0.025379988507826287,-0.02997298180034301,0.14760445864945498,-0.04087479406396137,0.19196535385706426,0.013099666231157225,-0.15568814036979878,-0.26189285617901853,-0.20243894941277937,-0.015264099223485608,-0.07689843033952229,-0.03695191986898434,-0.015971913753016098,-0.02432390346662204,0.04447081327834028,0.22218181233836842,-0.017494032184016822,-0.017708121600441964,0.1321834772831443,-0.29779565591297885,0.11681252449264491,-0.06537725378706098,-0.15454123134111405,0.21242144411912894,0.3159148549749006,-0.15608412883552955,-0.07213105311226609,-0.01054996310737977,-0.022581408925217466,-0.11888509411704122,0.10694038889981021,-0.09508755041968556,-0.06270970672313018
difference.touch_buttonCenter_y_median,0.04792928899544289,0.1188149055783086,-0.0659058983463782,0.12484702992262399,0.17607747397469933,-0.08943103949535235,-0.0793856378812923,0.1687366772134597,0.27703092546384933,-0.06664754618971189,-0.05012164103777336,-0.16398290617756703,0.12882759938390437,-0.1585250373090612,-0.19676420702518302,0.03958852967515458,0.28089278743808516,-0.05346555168215383,0.08816854897891163,-0.22210842605998704,0.18406279805641654,-0.07379126299779962,-0.0641127231624989,-0.17544593145554702,-0.08653646658725507,0.08340645464127172,0.04769936444065464,-0.09274562402931544,-0.05665756566378922,-0.11625900055490578,0.10175502968636069,0.10787064686789921,-0.04734819109019674,0.07632441674937478,0.11423008642795579,-0.15600047164372044,-0.15970639880263757,0.1389250105956506,0.0010122873081979539,0.05144782927240622,0.07448578189838459,-0.09043721349775537,0.23633860697982723,-0.1014561910465899,-0.11401677683204953,-0.16097997913532122,0.14776777856325468,0.11439816775920533,0.1577408998977166,0.05338815061170374,-0.05475646118586631,-0.11285785159434944,-0.11792474571923865
touchAccuracy_median,-0.09011259000839922,-0.037574920993635776,0.195212986678633,-0.01242754409778056,-0.047179473488865496,-0.01788747441338696,0.1544712117857597,-0.00533315970050946,0.07103628840534532,-0.27292992140992256,-0.16737450333209408,-0.1926620281917737,0.1863543695864256,-0.053302032358092145,-0.05270113004412342,0.016126620964088824,0.044919192776797214,-0.02920568099032638,-0.04740306836368219,-0.08972005393596905,0.026421552738478415,0.0487268536731858,-0.08080824630879467,0.16327856295226573,-0.10024922610184525,-0.02934288950942672,0.09699426495380044,0.44608253186325775,-0.0012333063486800605,0.11266829239583498,-0.2510014057577776,0.1735554419709045,0.1037103821635904,-0.07207530592451332,0.24131982691511777,0.1345675427789386,-0.05537593202245309,-0.10414116968488417,0.11037063001999195,0.0017653005750780312,0.2108039548219256,0.011781727515499829,0.07188329365455635,-0.07120229788707548,0.12486203117765274,0.09666452836140593,0.07961625272411285,-0.12385044541935492,-0.001481155333720445,-0.04623192480096772,0.13287084364185905,0.03363889776229989,-0.01700651498472195
touchAccuracy_x_median,0.1329972236164958,-0.11790973456034887,-0.00124534778000835,0.1008108131218188,-0.12797915643254176,-0.03719887392410699,-0.07467253907990781,0.025306720684331332,-0.04064295158106324,0.17204492096448049,0.07120576032836981,0.11377500940057862,0.07975029159677915,-0.14231067647425993,-0.031391280833234995,-0.02251073009928715,-0.220920331259924,0.1017092122799401,-0.11256101054337908,-0.08383830510059115,-0.06567233123732102,-0.02088806178337409,0.09366399848435276,-0.13401828246763625,0.043798797012402246,0.15186333323074677,0.09796935360492265,0.06373474264826177,-0.1735292197193209,-0.07787142465871505,-0.21829372765531332,-0.04063808551467926,0.26027592788542014,0.15180997038738808,0.19743174589433388,0.04880034608036182,0.15980465511025485,0.24312911534622897,0.11997445552423594,-0.062107349858983724,0.15686014826954842,-0.11568649948322657,0.1749936895738143,-0.19859135691356083,-0.1414732729447465,0.07742349799285322,-0.08383360708171317,-0.29631170658845124,-0.13741762417151104,0.0741046765089749,0.006472333462892894,0.10241565580279724,0.09599572299729356
touchAccuracy_y_median,-0.0034274655047392814,-0.04058358662505993,0.2947197314354597,0.014812480183464066,-0.11714047549381215,0.14408825662614305,0.15972836583858924,0.15302080990707329,-0.08701042175951067,-0.1552112881645225,-0.12410580354506967,0.033337176057986875,0.12996805920079935,-0.024938614621073746,0.0745864255402587,-0.015138786180965189,-0.12009308201729821,-0.1305815069762108,0.07615486058995517,0.15947281611205272,0.18855254581221972,0.13381318679615667,-0.08035570165331497,-0.030205038602206514,0.07700780011043466,-0.20639144905190893,-0.03978973286266435,0.0004288609651675046,-0.0594203638462403,-0.01385590528692893,-0.10824087814894781,-0.006918246955751481,-0.13516146466770884,-0.14057120977179033,0.14793067574547522,-0.035962928942355976,-0.00787751756786259,0.11938049919919796,0.10547843736331274,0.028594192745706418,-0.35725310266942695,0.0005078632421861434,-0.054008641605280544,0.003941472498549311,-0.0476021788371078,-0.12638596454976012,-0.04801481482383746,0.0732571039637181,0.04172490290722042,-0.042935398605962946,-0.024812088262076697,-0.17632762271982738,-0.05165634085886964
difference.touch_buttonCenter_x_skew,-0.10822573312077727,-0.0697393578202897,-0.02966504405305894,-0.23499565340837011,-0.04429048078827302,-0.018962571696148012,-0.2454853816201365,0.00485321613662066,-0.04532167373036046,-0.11340290163086905,0.17960717164818868,0.019330726108596135,0.060452190521109984,-0.012599632392951175,0.045068467002154486,0.08153006161615971,-0.0698971295257983,0.07342398305140668,0.06696546926427699,-0.14303463937574434,0.17528213234353454,0.03888702392338253,-0.04195808435046676,0.1506490768653325,0.12551581717109192,0.09265879790510506,0.057298118889551684,-0.012213269147597135,-0.24374914319702187,-0.11200966086155915,0.12102352263891997,-0.16512067398998687,-0.009896594124653813,-0.07946794315680569,-0.3101579606109168,0.14042017953602984,-0.11397972747334811,-0.02923568392685036,0.034921559851567766,-0.12478939290589,-0.033892918868325586,0.014155204396516102,-0.03554619537067953,-0.2302595691407502,0.056659807350244236,-0.026360678720483033,0.2354232691132478,-0.22309907362845263,-0.001579655022792642,-0.13290258961054163,-0.17341557750805517,-0.1557552630625766,0.10356348474942541
difference.touch_buttonCenter_y_skew,-0.10782033600951588,-0.10676274760855228,-0.03827513959069407,-0.2707949478155626,-0.08332530807909676,-0.01105756190972304,-0.14216019527086668,-0.011501738852247862,0.05874875879637409,-0.03418159262017839,-0.09397958331837003,0.0985224977437501,0.032868403361049695,-0.03464325240114741,-0.09595453156634154,-0.18301211713815382,0.039319006760951306,-0.06918050231775907,0.1455333460326596,-0.05084558765725665,-0.09592469770980389,-0.09382023502838645,-0.06604201410528797,-0.0777898751121992,-0.0002669469268129004,-0.07383459682275531,0.17577058147020796,0.05741491398846624,0.16778992791058375,-0.18154058797326655,0.09817543563376335,-0.0062079063958293546,0.24356146535663833,-0.1768863261856507,-0.09517154657645034,-0.10473212312166665,0.07266864885486563,0.23004600258133862,0.04834213412114349,0.04822970078897613,-0.10579262243280312,-0.24908250966516013,0.13870236404134287,0.1671106881745742,0.12368283423324604,-0.12140307809429418,0.12174986839724555,0.09882989200437474,0.01078056537368193,-0.16359836846500414,0.32825689251637546,0.10884154143282743,0.2071952593938205
target_touch_x_location_skew,0.07168817473162199,-0.22772156630737148,-0.025435285696208773,-0.017322516308910997,0.06675801334676754,-0.07370933794172205,-0.09945538354745032,0.2200700121046711,-0.06263310624418603,0.1420038845586358,0.043832872873289144,-0.22894384133285003,-0.01884045865773537,-0.15104175695817812,0.030033178230255538,0.10630239838134542,-0.10280411090808755,0.12794395324797037,0.1335544895149617,-0.0067702902832948685,-0.047568140907109466,0.05083763872003069,-0.013534360161555122,0.026755614002853527,0.1246734858211607,-0.2326566992549908,-0.0656859987719424,0.10686170028448662,0.0002905119710591604,0.1490212478306894,0.15377422581371483,-0.17154923806825306,0.06430581184619567,-0.13315843918602124,0.008705550437917486,0.17746917723902061,-0.08609554917724777,0.08478640881782777,-0.15617732846200885,0.10314283689337346,0.14809495052808924,0.3364294096750596,0.3668194561352776,0.3547735816385194,-0.012566238943229443,0.10356984013610528,-0.04927744177561394,-0.01779142460515689,0.026457725963466128,-0.059016902443899996,0.025248298787467673,-0.1298679205916454,-0.022555422924930388
target_touch_y_location_skew,0.01784923008105121,0.08829590010240781,-0.05388301851294132,0.03087392166133232,-0.28605222023521903,-0.2424350181508029,-0.11744445562623704,-0.10752865155424263,0.07187563867986155,-0.02203156315738443,-0.3016362818773425,-0.16410281547956165,-0.173588824883492,-0.013766188256890213,0.01368110365396856,0.014686352198501736,-0.0205218310191905,0.007212641422434593,0.12248186784587767,-0.0016417182836125574,0.17483738349625857,-0.13566022966753966,-0.03296126852929436,0.11669380551852798,0.016623822211970098,0.1007317464092839,-0.10838690306511352,-0.08279358815744836,-0.18761484619488283,-0.05545196139310478,0.018482531142208665,-0.24012885110693766,0.10169563511309536,-0.13390707121548076,0.18903129064293506,-0.17134725825184646,0.09950057045226529,0.02396355578230052,0.09601356919752152,-0.017908287164542173,-0.13866660452015545,0.2538266258463191,0.046057142086353975,-0.1227298373348219,-0.05898933837730722,-0.14630377303751144,-0.06559873858571053,0.102032159275875,-0.17391869004968824,0.02277713131509232,0.10480629886177899,-0.07720936527843053,0.09062548198845244
